barID edep
0 3567.96000
1 5138.06000
2 5487.37000
3 5258.31000
4 5249.86000
5 4972.42000
6 4800.30000
7 4481.49000
8 3622.07000
9 5489.75000
10 5870.92000
11 5822.90000
12 5654.99000
13 5522.77000
14 5332.33000
15 4946.05000
16 3632.31000
17 5629.02000
18 5709.36000
19 5588.59000
20 5441.96000
21 5442.77000
22 5244.35000
23 5041.38000
24 3688.63000
25 5434.78000
26 5806.72000
27 5664.31000
28 5552.93000
29 5449.27000
30 5392.81000
31 4988.38000
32 3682.14000
33 5451.18000
34 5794.34000
35 5629.16000
36 5500.28000
37 5454.09000
38 5188.16000
39 4991.44000
40 3640.27000
41 5408.51000
42 5681.41000
43 5636.35000
44 5527.89000
45 5405.62000
46 5273.94000
47 4922.74000
48 3718.08000
49 5530.76000
50 5830.46000
51 5687.28000
52 5586.13000
53 5549.03000
54 5095.41000
55 4784.42000
56 3499.73000
57 5188.53000
58 5459.53000
59 5461.34000
60 5222.90000
61 5075.45000
62 4837.43000
63 4752.83000
