barID edep
0 804.97100
1 1219.10000
2 1234.91000
3 1209.95000
4 1227.74000
5 1157.60000
6 1087.33000
7 998.37000
8 791.55900
9 1262.89000
10 1325.94000
11 1258.91000
12 1232.38000
13 1190.50000
14 1189.90000
15 1115.60000
16 822.83000
17 1239.75000
18 1309.48000
19 1233.04000
20 1250.45000
21 1218.50000
22 1245.04000
23 1160.80000
24 798.08300
25 1267.43000
26 1308.66000
27 1278.74000
28 1252.48000
29 1200.88000
30 1193.01000
31 1120.96000
32 823.97900
33 1220.55000
34 1245.95000
35 1332.33000
36 1236.97000
37 1182.66000
38 1173.37000
39 1136.82000
40 842.34700
41 1233.75000
42 1333.91000
43 1328.05000
44 1185.06000
45 1213.43000
46 1174.32000
47 1114.79000
48 812.01200
49 1261.25000
50 1289.05000
51 1262.83000
52 1202.24000
53 1164.48000
54 1220.43000
55 1120.88000
56 802.69900
57 1190.20000
58 1164.94000
59 1221.73000
60 1209.09000
61 1122.22000
62 1079.98000
63 1053.12000
