barID edep
0 131.77000
1 206.32200
2 242.81300
3 278.12900
4 283.06200
5 312.92300
6 330.03700
7 340.69700
8 726.65200
9 1111.83000
10 1213.36000
11 1217.24000
12 1194.83000
13 1170.35000
14 1140.62000
15 1097.86000
16 717.86700
17 1195.20000
18 1199.50000
19 1246.10000
20 1225.38000
21 1188.59000
22 1213.14000
23 1108.99000
24 806.50400
25 1154.30000
26 1294.78000
27 1209.81000
28 1224.45000
29 1291.36000
30 1190.71000
31 1105.79000
32 744.27900
33 1106.68000
34 1235.66000
35 1221.55000
36 1261.03000
37 1241.41000
38 1125.07000
39 1104.30000
40 775.79900
41 1218.62000
42 1248.73000
43 1258.55000
44 1204.00000
45 1146.19000
46 1191.27000
47 1142.17000
48 729.73800
49 1108.84000
50 1205.99000
51 1225.32000
52 1198.58000
53 1179.41000
54 1119.50000
55 1040.61000
56 132.48800
57 186.27400
58 200.50300
59 221.82900
60 260.86000
61 306.95400
62 278.77700
63 295.19300
