barID edep
0 3816.86000
1 5451.99000
2 5702.55000
3 5606.40000
4 5376.73000
5 5236.04000
6 4986.04000
7 4677.55000
8 3996.64000
9 5845.31000
10 6117.49000
11 5901.81000
12 5796.55000
13 5522.59000
14 5376.54000
15 4984.11000
16 3891.61000
17 5845.34000
18 6164.39000
19 5933.32000
20 5683.27000
21 5553.95000
22 5386.29000
23 4984.05000
24 3979.93000
25 5821.51000
26 6083.62000
27 6065.86000
28 5759.12000
29 5668.75000
30 5335.01000
31 5111.64000
32 3983.17000
33 5776.27000
34 6052.14000
35 5852.67000
36 5537.90000
37 5502.50000
38 5523.86000
39 5003.41000
40 3916.21000
41 5842.83000
42 6009.13000
43 5985.77000
44 5742.81000
45 5481.91000
46 5451.90000
47 4973.23000
48 3921.92000
49 5827.10000
50 6105.09000
51 5862.45000
52 5723.90000
53 5656.15000
54 5316.69000
55 5001.59000
56 3872.56000
57 5719.80000
58 5700.47000
59 5757.95000
60 5522.30000
61 5376.94000
62 5007.16000
63 4700.34000
