barID edep
0 467.11300
1 727.43000
2 762.09500
3 762.94500
4 772.39500
5 760.78100
6 798.92200
7 832.96800
8 759.94100
9 1246.39000
10 1293.95000
11 1251.29000
12 1243.19000
13 1199.39000
14 1186.63000
15 1124.11000
16 793.61200
17 1266.94000
18 1308.47000
19 1238.79000
20 1205.60000
21 1237.50000
22 1160.57000
23 1093.52000
24 780.38300
25 1197.07000
26 1331.84000
27 1272.56000
28 1264.18000
29 1208.18000
30 1190.34000
31 1124.74000
32 745.97800
33 1198.36000
34 1339.47000
35 1305.71000
36 1220.43000
37 1210.95000
38 1181.14000
39 1158.65000
40 745.23100
41 1190.08000
42 1264.45000
43 1251.79000
44 1296.42000
45 1249.86000
46 1204.03000
47 1113.58000
48 774.17800
49 1206.20000
50 1293.16000
51 1222.95000
52 1216.74000
53 1211.58000
54 1186.39000
55 1080.20000
56 432.94800
57 705.31400
58 798.41000
59 840.87200
60 774.00200
61 803.20200
62 854.22700
63 817.44900
