This file was gnenerated on 2021-02-01 21:03:49.980035 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  bar_id      edep
       0   3484.58
       1   3687.47
       2   3694.41
       3   3926.92
       4   3713
       5   3389.61
       6   3225.63
       7   2536.32
       8   9758.55
       9  11188.7
      10  10664
      11  11815.3
      12  10982.1
      13  10728
      14  10091.3
      15   6663.93
      16  14131.5
      17  17127.6
      18  17925.2
      19  18371.2
      20  18680.7
      21  17461
      22  15837
      23   9248.89
      24  16364.5
      25  19559.9
      26  19919.6
      27  21268.5
      28  20413
      29  18832.9
      30  17031.4
      31  10173.8
      32  16905.5
      33  20149
      34  20421.7
      35  21049.5
      36  19322.2
      37  17370.6
      38  16361.7
      39  10666.1
      40  14631.9
      41  17621.3
      42  16982
      43  17893.8
      44  17565.8
      45  17086.4
      46  17067.5
      47  12116.8
      48  11020.4
      49  14251.6
      50  15737.1
      51  14945.9
      52  14804.3
      53  14725.3
      54  16367.8
      55  12154.4
      56   8850.71
      57  12109.2
      58  12782.6
      59  12015
      60  12480.4
      61  13875.4
      62  15992.1
      63  11392.4
