bar_id edep
0 13365.843118521238
1 17045.926523688646
2 19828.838726950275
3 21173.25402845952
4 18520.272724905535
5 10552.51641354415
6 2790.190303958055
7 936.9069014171878
8 14507.597319552455
9 18359.19332510879
10 21951.95912874904
11 23421.498830510038
12 23955.08223049385
13 19779.744624824347
14 8983.122011490026
15 1891.9813025617025
16 16392.817720959927
17 19663.957925308092
18 21613.84082722992
19 22645.711728288577
20 22533.278427987752
21 20129.70212494872
22 13389.59471652572
23 5263.029606417521
24 17787.975522084434
25 21420.267926447505
26 21319.797025709137
27 22285.95692656656
28 22324.200426720836
29 20667.910923817977
30 14548.069316756026
31 5992.167907108253
32 17382.885121164785
33 23027.49702656938
34 25319.530928443597
35 23686.123026830293
36 21740.150425484684
37 20018.31932187747
38 14245.428815475841
39 5511.541706090498
40 12156.759313960378
41 20199.667222859214
42 23495.494425547648
43 22329.268724120353
44 20310.26992195231
45 18532.5944194972
46 13309.220913706027
47 5504.45600577226
48 2484.921902708293
49 7856.067808630897
50 14441.722915032939
51 16260.006316279732
52 15382.096915658405
53 13646.02211370661
54 10727.53221041295
55 4780.147104487858
56 286.00250037913133
57 473.02310060818456
58 2647.0218027433057
59 4986.248404759165
60 5469.94340534919
61 5401.352105078232
62 4688.125804241563
63 2653.9736023609994
