This file was gnenerated on 2021-02-01 21:11:46.316187 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  bar_id       edep
       0    726.045
       1   1305.4
       2   2777.38
       3   6574.5
       4  15601.7
       5  23343.6
       6  23989.2
       7  18388.3
       8   1111.52
       9   2745.53
      10   8525.07
      11  20207.4
      12  28980.9
      13  29687
      14  27512.9
      15  20814.7
      16   1934.59
      17   7038.68
      18  21717.9
      19  31167.4
      20  35185.9
      21  31746.2
      22  28764
      23  22953.9
      24   4918.3
      25  17797.1
      26  28831.9
      27  33873.6
      28  33818.1
      29  32832.9
      30  29781.9
      31  21882.2
      32   7855.21
      33  19671
      34  28936.2
      35  33793.9
      36  33667.9
      37  33365
      38  24807.3
      39  11620.4
      40   7976.62
      41  19022.6
      42  27957.1
      43  29988.5
      44  30523.7
      45  22284.2
      46   8205.88
      47   3077.52
      48   7220.4
      49  16217.5
      50  20872.8
      51  22401.1
      52  14829.6
      53   4372.62
      54   1259.59
      55    722.462
      56   3836.99
      57   7383.58
      58   7646.25
      59   4989.2
      60   1211.56
      61    515.646
      62    195.456
      63    150.928
