This file was gnenerated on 2021-02-01 20:46:01.471636 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  bar_id        edep
       0    102.923
       1     95.4866
       2    159.126
       3    294.265
       4    472.852
       5    748.139
       6   1155.66
       7   1410.71
       8    138.603
       9    378.182
      10    683.476
      11   1342.82
      12   3845.15
      13   7196.85
      14  12077.1
      15  13345.5
      16   1436.48
      17   4250.53
      18   9038.54
      19  14871
      20  21360.2
      21  25732.6
      22  27758.4
      23  27135.3
      24   3468.47
      25   9313.27
      26  15631.6
      27  21335.7
      28  26017.9
      29  29387
      30  30551.4
      31  27358.8
      32   3715.03
      33   9204.62
      34  15497.7
      35  20206.9
      36  24232.6
      37  27811.6
      38  27642.5
      39  24624
      40   3092.29
      41   7740.89
      42  13610.7
      43  16073.1
      44  16303.8
      45  15990.5
      46  12940.5
      47   8959.97
      48   1287.29
      49   2389.02
      50   2496.57
      51   1792.55
      52   1248.1
      53   1251.69
      54    822.946
      55    733.729
      56     61.4318
      57     72.1837
      58     75.2093
      59    114.572
      60    178.486
      61    207.49
      62    200.675
      63    196.925
