This file was gnenerated on 2021-02-01 20:26:52.121836 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  bar_id        edep
       0     96.2339
       1     79.5237
       2     73.5507
       3     73.9335
       4     70.5016
       5    146.312
       6     93.0785
       7    110.975
       8     94.2357
       9    116.972
      10    177.528
      11    251.599
      12    259.784
      13    329.953
      14    287.731
      15    207.943
      16   2694.98
      17   5034
      18   4065.69
      19   2592.87
      20   2294.89
      21   2189.95
      22   1923.75
      23   1469.97
      24   7950.21
      25  19822.8
      26  31136.8
      27  37161
      28  36641.4
      29  34509.6
      30  27740.7
      31  18423.1
      32   2739.97
      33   9472.23
      34  20656
      35  34868.3
      36  47335.2
      37  58243.8
      38  62942.8
      39  55597.7
      40    232.78
      41    512.327
      42   1228.6
      43   2767.28
      44   6932.84
      45  14101.4
      46  23648.7
      47  28233.6
      48    116.016
      49    182.269
      50    273.423
      51    420.601
      52    846.009
      53   1532.19
      54   2223.75
      55   2939.24
      56     55.029
      57    132.33
      58    104.44
      59    214.295
      60    260.247
      61    408.076
      62    464.016
      63    456.992
