This file was gnenerated on 2021-02-01 20:05:35.015680 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  bar_id       edep
       0    502.724
       1   2772.58
       2   5278.16
       3   5137.11
       4   4947.2
       5   5208.4
       6   4925.49
       7   4265.74
       8   2649.74
       9  11508.3
      10  16199.9
      11  15583.3
      12  16312.4
      13  15251.6
      14  15642.5
      15  10670.3
      16   8545.38
      17  22164.2
      18  25525.6
      19  25447.3
      20  25761.6
      21  24639.1
      22  23628.9
      23  13133.2
      24  13867.9
      25  25506.1
      26  28516.5
      27  29670.3
      28  28744.9
      29  26243.4
      30  24285.7
      31  13968
      32  19223.7
      33  27588.6
      34  27990.7
      35  28155.9
      36  27698.3
      37  27555.1
      38  24326.9
      39  13294.3
      40  18287.3
      41  25177.2
      42  24969.6
      43  26060.8
      44  24965.7
      45  24633.3
      46  21971.5
      47  10656.5
      48  16693.2
      49  21038.4
      50  21817.3
      51  22084.9
      52  21518.4
      53  21663.6
      54  19946.6
      55   7508.94
      56  13560.9
      57  17235.8
      58  17828.3
      59  16941.1
      60  16865.9
      61  17266
      62  12351.8
      63   4543.65
