This file was gnenerated on 2021-02-01 21:23:29.792110 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  bar_id        edep
       0    334.108
       1    193.973
       2    167.292
       3    161.114
       4    116.581
       5    122.669
       6     62.8705
       7     72.9495
       8    931.093
       9   1011.81
      10    649.569
      11    416.031
      12    413.339
      13    183.629
      14    126.311
      15     88.7619
      16  11893.3
      17  11987
      18  11287.2
      19   9822.82
      20   8192.56
      21   5984.17
      22   3276.55
      23   1104.61
      24  35600.2
      25  39029.4
      26  36095.2
      27  32963
      28  26948.7
      29  19206.8
      30  11653.6
      31   4162.67
      32  37740.6
      33  39973.2
      34  38563
      35  34342.8
      36  27988.4
      37  20168.1
      38  12291.6
      39   4190.88
      40  12836.7
      41  14087.4
      42  12391.8
      43  10870.8
      44   8314.18
      45   5269.88
      46   3110.09
      47   1051.45
      48    925.519
      49    957.507
      50    806.929
      51    562.307
      52    433.197
      53    222.753
      54    171.917
      55    132.685
      56    199.752
      57    173.556
      58    147.099
      59    131.497
      60    130.578
      61    112.236
      62    123.912
      63     56.7305
