bar_id edep
0 104.04380013116406
1 135.0420001645707
2 139.98010016309485
3 98.31430012551043
4 109.67990015311227
5 154.90550018351354
6 103.83600014365263
7 70.29510008538706
8 240.21860031184414
9 344.44570047082925
10 326.98730047240406
11 327.96300045096586
12 676.8868007658926
13 795.5565009020246
14 2153.7864021629985
15 2749.012702762709
16 1031.7917013033577
17 1644.1802020415512
18 2755.032703227737
19 5470.64470622789
20 14167.982315142868
21 22455.227223385533
22 21007.057121489976
23 8723.301909113718
24 6156.534507588656
25 13984.530916809405
26 28572.05173312537
27 43227.87214924466
28 48120.97135346491
29 40157.65734373159
30 23001.633024411472
31 6076.306806597849
32 32495.239141698337
33 50987.58416322875
34 60305.15817286233
35 57132.39366782631
36 40927.33254753815
37 20609.915623355202
38 5926.688706739375
39 902.5780011808534
40 49588.637364144655
41 52578.20516753723
42 39209.90094967676
43 21425.740126510053
44 7755.12580948354
45 2463.715403327221
46 988.2935013545612
47 564.2142007250459
48 24335.43033265842
49 15729.301020928471
50 7527.127610092646
51 3340.8402045104667
52 1784.812002414217
53 824.419701234231
54 520.7386007696185
55 324.36280046450867
56 4053.165205767844
57 3021.6864044471035
58 1627.213002306743
59 900.6205013024709
60 542.2284007676842
61 360.5815005442158
62 234.24670038170916
63 148.23510027126096
