This file was gnenerated on 2021-02-01 19:40:09.983688 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  bar_id      edep
       0   9992.06
       1  16469.5
       2  15246
       3  14135.6
       4  14916.1
       5  14723.5
       6  14171.6
       7  11633.3
       8  13136.6
       9  17615.4
      10  16845
      11  17816.9
      12  18689
      13  18222.7
      14  17824.2
      15  13544.4
      16  14003.4
      17  19439.1
      18  18888.2
      19  19766.5
      20  21679.8
      21  21434
      22  21191.6
      23  15487.3
      24  13579.3
      25  18144.1
      26  20719.7
      27  22250.6
      28  23286
      29  22689.7
      30  22707.3
      31  18449.9
      32  12710.1
      33  17536.2
      34  21997.5
      35  22998.6
      36  23579.4
      37  23528.2
      38  22252.3
      39  16640.7
      40  10692.5
      41  16846.3
      42  19475
      43  19627.8
      44  21329.3
      45  20767.7
      46  19567.2
      47  15035.1
      48   6929.73
      49  11579.2
      50  12962.6
      51  12927.4
      52  13788.5
      53  12715.6
      54  13498.6
      55   8402.9
      56   3083.12
      57   4142.03
      58   3852.22
      59   4238.92
      60   4287.85
      61   4312.74
      62   4226.35
      63   2160.16
